season,player_name,play_type,yards_gained
1999,C.Evans,run,128
1999,E.Rhett,run,852
1999,J.Lewis,run,11
1999,P.Holmes,run,454
1999,P.Johnson,run,12
1999,Q.Ismail,run,4
1999,S.Case,pass,-116
1999,S.Case,qb_kneel,-8
1999,S.Case,run,149
1999,S.CaseA.Ofodile,pass,9
1999,S.CaseA.Pierce,pass,59
1999,S.CaseB.Davis,pass,8
1999,S.CaseB.Stokley,pass,0
1999,S.CaseC.Evans,pass,107
1999,S.CaseE.Rhett,pass,29
1999,S.CaseG.DeLong,pass,8
1999,S.CaseJ.Armour,pass,249
1999,S.CaseJ.Lewis,pass,144
1999,S.CaseL.Purnell,pass,5
1999,S.CaseP.Holmes,pass,0
1999,S.CaseP.Johnson,pass,144
1999,S.CaseQ.Ismail,pass,226
1999,S.Mitchell,pass,-5
1999,S.Mitchell,run,1
1999,S.MitchellA.Pierce,pass,19
1999,S.MitchellC.Evans,pass,0
1999,S.MitchellG.DeLong,pass,5
1999,S.MitchellJ.Armour,pass,0
1999,S.MitchellJ.Lewis,pass,5
1999,S.MitchellL.Purnell,pass,5
1999,S.MitchellP.Johnson,pass,0
1999,S.MitchellQ.Ismail,pass,14
1999,T.Banks,pass,-190
1999,T.Banks,qb_kneel,-3
1999,T.Banks,run,96
1999,T.BanksA.Ofodile,pass,16
1999,T.BanksA.Pierce,pass,21
1999,T.BanksB.Davis,pass,113
1999,T.BanksC.Evans,pass,101
1999,T.BanksE.Rhett,pass,140
1999,T.BanksG.DeLong,pass,34
1999,T.BanksJ.Armour,pass,213
1999,T.BanksJ.Lewis,pass,132
1999,T.BanksM.Nash,pass,0
1999,T.BanksO.Ayanbadejo,pass,2
1999,T.BanksP.Holmes,pass,101
1999,T.BanksP.Johnson,pass,382
1999,T.BanksQ.Ismail,pass,819
1999,T.BanksR.Collins,pass,62
2000,B.Stokley,run,6
2000,C.Redman,run,0
2000,C.RedmanP.Johnson,pass,0
2000,C.RedmanT.Taylor,pass,19
2000,J.Lewis,run,1749
2000,J.LewisP.Holmes,pass,3
2000,O.Ayanbadejo,run,37
2000,P.Holmes,run,633
2000,P.Johnson,run,21
2000,Q.Ismail,run,-4
2000,S.Gash,run,2
2000,T.Banks,pass,-152
2000,T.Banks,qb_spike,0
2000,T.Banks,run,56
2000,T.BanksB.Coates,pass,46
2000,T.BanksB.Davis,pass,62
2000,T.BanksB.Stokley,pass,17
2000,T.BanksJ.Lewis,pass,197
2000,T.BanksO.Ayanbadejo,pass,168
2000,T.BanksP.Holmes,pass,125
2000,T.BanksP.Johnson,pass,27
2000,T.BanksQ.Ismail,pass,330
2000,T.BanksS.Gash,pass,0
2000,T.BanksS.Sharpe,pass,381
2000,T.BanksT.Taylor,pass,227
2000,T.Dilfer,pass,-217
2000,T.Dilfer,run,82
2000,T.DilferB.Coates,pass,94
2000,T.DilferB.Stokley,pass,258
2000,T.DilferJ.Lewis,pass,306
2000,T.DilferP.Holmes,pass,97
2000,T.DilferP.Johnson,pass,137
2000,T.DilferQ.Ismail,pass,475
2000,T.DilferS.Gash,pass,37
2000,T.DilferS.Sharpe,pass,659
2000,T.DilferT.Dilfer,pass,-1
2000,T.DilferT.Taylor,pass,30
2000,T.Taylor,run,11
2001,B.Stokley,run,1
2001,C.Redman,run,-2
2001,E.Grbac,pass,-252
2001,E.Grbac,qb_spike,0
2001,E.Grbac,run,21
2001,E.GrbacB.Stokley,pass,320
2001,E.GrbacJ.Brookins,pass,36
2001,E.GrbacJ.Jones,pass,13
2001,E.GrbacJ.Lewis,pass,32
2001,E.GrbacM.Williams,pass,234
2001,E.GrbacO.Ayanbadejo,pass,94
